#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 21 40 208  9.1 11.2  1.58  5.88  4.83 186 1007.7 999.0  13.0 999.0 99.0 99.00 
2022 01 01 21 50 208  9.2 11.0 99.00 99.00 99.00 999 1007.7 999.0  13.0 999.0 99.0 99.00 
2022 01 01 22 00 206  9.2 11.6 99.00 99.00 99.00 999 1007.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 22 10 205  9.3 11.6 99.00 99.00 99.00 999 1007.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 22 20 204  9.4 11.3 99.00 99.00 99.00 999 1007.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 22 30 207  9.1 11.3 99.00 99.00 99.00 999 1007.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 22 40 206  9.4 11.3  1.64  5.56  4.73 186 1007.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 22 50 205  9.4 11.9 99.00 99.00 99.00 999 1007.4 999.0  13.0 999.0 99.0 99.00 
2022 01 01 23 00 205  9.7 11.6 99.00 99.00 99.00 999 1007.4 999.0  13.0 999.0 99.0 99.00 
2022 01 01 23 10 208  9.9 12.1 99.00 99.00 99.00 999 1007.7 999.0  13.0 999.0 99.0 99.00 
2022 01 01 23 20 209  9.5 11.6 99.00 99.00 99.00 999 1007.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 23 30 207 10.0 12.3 99.00 99.00 99.00 999 1007.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 23 40 204  8.2 10.1  1.55  6.25  4.59 179 1007.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 23 50 200  7.7  9.2 99.00 99.00 99.00 999 1007.4 999.0  13.0 999.0 99.0 99.00 
2022 01 02 00 00 198  7.6  9.3 99.00 99.00 99.00 999 1007.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 00 10 197  8.1 10.0 99.00 99.00 99.00 999 1007.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 00 20 200  8.7 10.7 99.00 99.00 99.00 999 1007.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 00 30 204  9.4 11.7 99.00 99.00 99.00 999 1007.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 00 40 204  9.8 12.3  1.47  5.88  4.59 186 1007.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 00 50 205 10.7 13.4 99.00 99.00 99.00 999 1007.2 999.0  13.0 999.0 99.0 99.00 
2022 01 02 01 00 205 10.9 13.6 99.00 99.00 99.00 999 1007.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 01 10 205 10.6 12.9 99.00 99.00 99.00 999 1007.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 01 20 207 10.4 12.6 99.00 99.00 99.00 999 1007.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 01 30 206 10.5 12.8 99.00 99.00 99.00 999 1007.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 01 40 206 10.6 13.2  1.85  6.25  4.86 173 1007.2 999.0  13.0 999.0 99.0 99.00 
2022 01 02 01 50 206 10.3 13.2 99.00 99.00 99.00 999 1007.2 999.0  13.0 999.0 99.0 99.00 
2022 01 02 02 00 204 10.9 13.7 99.00 99.00 99.00 999 1007.0 999.0  13.0 999.0 99.0 99.00 
2022 01 02 02 10 204 10.8 13.3 99.00 99.00 99.00 999 1006.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 02 20 206 10.4 12.5 99.00 99.00 99.00 999 1007.1 999.0  13.0 999.0 99.0 99.00 
2022 01 02 02 30 206 10.5 12.7 99.00 99.00 99.00 999 1007.2 999.0  13.0 999.0 99.0 99.00 
2022 01 02 02 40 206 10.5 13.4  1.99  6.67  5.04 177 1007.1 999.0  13.0 999.0 99.0 99.00 
2022 01 02 02 50 206 11.0 14.8 99.00 99.00 99.00 999 1007.0 999.0  13.0 999.0 99.0 99.00 
